iter	Passed	Remaining
0	169	168925
1	170	85286
2	172	57331
3	174	43331
4	178	35558
5	180	29823
6	181	25724
7	182	22669
8	191	21054
9	192	19065
10	193	17440
11	195	16100
12	197	14959
13	198	13980
14	208	13683
15	209	12910
16	211	12228
17	212	11619
18	221	11435
19	223	10933
20	224	10466
21	226	10048
22	227	9673
23	233	9481
24	237	9278
25	239	8967
26	241	8693
27	242	8427
28	250	8399
29	252	8160
30	253	7932
31	255	7720
32	256	7522
33	258	7348
34	264	7287
35	267	7160
36	269	7005
37	280	7091
38	281	6943
39	283	6797
40	284	6658
41	289	6612
42	291	6483
43	292	6357
44	294	6240
45	295	6130
46	297	6024
47	298	5927
48	300	5828
49	302	5739
50	303	5645
51	311	5677
52	314	5618
53	315	5534
54	317	5453
55	318	5373
56	326	5403
57	328	5329
58	329	5254
59	330	5183
60	332	5111
61	333	5042
62	334	4974
63	344	5035
64	345	4974
65	347	4916
66	348	4855
67	349	4796
68	359	4855
69	361	4799
70	364	4763
71	365	4711
72	377	4788
73	378	4738
74	379	4686
75	381	4638
76	390	4678
77	391	4632
78	393	4586
79	394	4539
80	396	4503
81	405	4541
82	406	4493
83	408	4450
84	409	4409
85	411	4369
86	420	4408
87	421	4367
88	425	4357
89	427	4318
90	435	4354
91	437	4322
92	439	4284
93	440	4246
94	450	4292
95	452	4256
96	453	4220
97	454	4187
98	456	4154
99	462	4162
100	469	4178
101	471	4147
102	472	4115
103	483	4167
104	485	4137
105	486	4104
106	487	4071
107	489	4040
108	494	4044
109	496	4016
110	497	3987
111	499	3957
112	509	3998
113	510	3969
114	512	3940
115	513	3911
116	514	3880
117	519	3885
118	525	3887
119	526	3859
120	527	3833
121	528	3804
122	538	3838
123	539	3813
124	541	3789
125	542	3764
126	543	3737
127	544	3712
128	556	3757
129	558	3734
130	560	3715
131	569	3747
132	572	3733
133	574	3712
134	575	3689
135	583	3709
136	586	3695
137	588	3673
138	589	3651
139	590	3630
140	598	3648
141	599	3625
142	601	3604
143	602	3583
144	604	3562
145	605	3541
146	611	3550
147	616	3550
148	618	3533
149	620	3515
150	621	3495
151	633	3535
152	635	3517
153	636	3498
154	643	3506
155	647	3505
156	650	3490
157	651	3471
158	659	3488
159	661	3470
160	662	3450
161	663	3432
162	665	3415
163	666	3397
164	673	3407
165	678	3407
166	679	3389
167	681	3372
168	682	3355
169	691	3376
170	693	3360
171	694	3343
172	695	3326
173	697	3309
174	702	3312
175	707	3312
176	708	3296
177	710	3280
178	711	3264
179	713	3248
180	722	3268
181	724	3254
182	725	3238
183	726	3223
184	728	3208
185	739	3237
186	741	3224
187	743	3209
188	744	3194
189	754	3215
190	755	3200
191	756	3184
192	757	3169
193	759	3155
194	766	3162
195	770	3160
196	771	3146
197	773	3133
198	774	3118
199	784	3136
200	785	3122
201	786	3107
202	788	3095
